,Movie Name,Movie Year,Movie url,Genre,Runtime,Box Office,Critic Ratings,Audience Ratings
144,Raise the Red Lantern,1991,http://www.rottentomatoes.com/m/98818287,drama,2h 5m,22.6K,96,94
145,Barry Lyndon,1975,http://www.rottentomatoes.com/m/11717,drama,3h 4m,Not available!,91,92
146,On the Waterfront,1954,http://www.rottentomatoes.com/m/18179,drama,1h 48m,Not available!,99,95
147,Raging Bull,1980,http://www.rottentomatoes.com/m/15121,"drama,biography",2h 8m,87.3K,93,93
148,The Cranes Are Flying,1957,http://www.rottentomatoes.com/m/19363,"war,drama,romance",1h 35m,17.0K,96,94
149,The Grapes of Wrath,1940,http://www.rottentomatoes.com/m/18139,drama,2h 9m,Not available!,100,88
150,Rebecca,1940,http://www.rottentomatoes.com/m/17080,mysteryandthriller,2h 10m,Not available!,100,92
151,The Bridge on the River Kwai,1957,http://www.rottentomatoes.com/m/11175,"war,drama",2h 41m,Not available!,95,93
152,Cool Hand Luke,1967,http://www.rottentomatoes.com/m/18102,drama,2h 9m,Not available!,100,95
153,A Streetcar Named Desire,1951,http://www.rottentomatoes.com/m/10198,drama,2h 2m,Not available!,98,90
154,Autumn Sonata,1978,http://www.rottentomatoes.com/m/12336,drama,1h 37m,Not available!,84,92
155,Nobody Knows,2004,http://www.rottentomatoes.com/m/10385,drama,2h 20m,683.6K,93,93
156,The Cabinet of Dr. Caligari,1920,http://www.rottentomatoes.com/m/17201,horror,1h 9m,Not available!,100,89
157,It Happened One Night,1934,http://www.rottentomatoes.com/m/18256,romance,1h 45m,Not available!,98,93
158,La Dolce Vita,1960,http://www.rottentomatoes.com/m/98829074,drama,2h 55m,Not available!,96,90
159,The Wizard of Oz,1939,http://www.rottentomatoes.com/m/9867,"musical,fantasy,kidsandfamily",1h 41m,5.5M,98,89
160,Blade Runner,1982,http://www.rottentomatoes.com/m/12886,"scifi,mysteryandthriller",2h 2m,3.9M,90,91
161,Aparajito,1956,http://www.rottentomatoes.com/m/20844,drama,1h 45m,Not available!,95,93
162,Mary and Max,2009,http://www.rottentomatoes.com/m/770799949,"drama,comedy,animation",1h 32m,Not available!,95,92
163,All Quiet on the Western Front,1930,http://www.rottentomatoes.com/m/17121,war,1h 45m,Not available!,98,89
164,Throne of Blood,1957,http://www.rottentomatoes.com/m/17149,drama,1h 48m,Not available!,95,94
165,Limelight,1952,http://www.rottentomatoes.com/m/9903,"drama,comedy",2h 25m,Not available!,97,90
166,"Paris, Texas",1984,http://www.rottentomatoes.com/m/12963,drama,2h 28m,Not available!,97,93
167,Make Way for Tomorrow,1937,http://www.rottentomatoes.com/m/770679142,drama,1h 34m,Not available!,100,93
168,The Tale of the Princess Kaguya,2013,http://www.rottentomatoes.com/m/771372814,"fantasy,anime",2h 17m,681.1K,100,90
169,Reservoir Dogs,1992,http://www.rottentomatoes.com/m/14978,"drama,crime",1h 45m,2.5M,92,94
170,Los Olvidados,1950,http://www.rottentomatoes.com/m/326393979,drama,1h 28m,Not available!,90,95
171,Ivan's Childhood,1962,http://www.rottentomatoes.com/m/574255104,"war,drama",1h 37m,Not available!,100,93
172,Memories of Murder,2003,http://www.rottentomatoes.com/m/17410,"crime,mysteryandthriller,drama",2h 9m,14.1K,91,94
173,Song of the Sea,2014,http://www.rottentomatoes.com/m/771380456,"adventure,fantasy,animation",1h 34m,850.0K,99,92
174,The Truman Show,1998,http://www.rottentomatoes.com/m/10679,"drama,comedy",1h 42m,125.6M,95,89
175,Forrest Gump,1994,http://www.rottentomatoes.com/m/10036,"drama,comedy",2h 22m,330.3M,71,95
176,Anatomy of a Murder,1959,http://www.rottentomatoes.com/m/17143,"mysteryandthriller,drama,crime",2h 40m,Not available!,100,90
177,La Haine,1995,http://www.rottentomatoes.com/m/98832611,drama,1h 37m,130.3K,100,95
178,The Man Who Shot Liberty Valance,1962,http://www.rottentomatoes.com/m/17020,western,2h 2m,Not available!,94,92
179,Le Samouraï,1967,The url does not exist!,western,2h 2m,Not available!,94,92
180,Day of Wrath,1943,http://www.rottentomatoes.com/m/351525233,drama,1h 37m,Not available!,100,91
181,Nausicaä of the Valley of the Wind,1984,http://www.rottentomatoes.com/m/10085,"fantasy,anime",1h 35m,Not available!,88,91
182,The Red Shoes,1948,http://www.rottentomatoes.com/m/18709,"drama,romance",2h 13m,Not available!,97,92
183,Napoleon,1927,http://www.rottentomatoes.com/m/313938020,"history,biography,drama",3h 55m,Not available!,88,91
184,Faces Places,2017,The url does not exist!,"history,biography,drama",3h 55m,Not available!,88,91
185,Grand Illusion,1937,http://www.rottentomatoes.com/m/17990,"war,drama",1h 57m,516.5K,97,92
186,The Usual Suspects,1995,http://www.rottentomatoes.com/m/16303,"crime,drama,mysteryandthriller",1h 45m,22.6M,89,96
187,Sanjuro,1962,http://www.rottentomatoes.com/m/11935,"adventure,action",1h 36m,Not available!,100,95
188,The Hunt,2012,http://www.rottentomatoes.com/m/771307311,drama,1h 50m,611.0K,93,93
